Register Name,Address,Hex Address,Chip,Family,Model Support,Width,Bits,Function,Access Type,Notes
CIABPRA,BFD000,$BFD000,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port A data register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABPRB,BFD100,$BFD100,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port B data register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABDDRA,BFD200,$BFD200,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port A direction,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABDDRB,BFD300,$BFD300,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port B direction,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABTALO,BFD400,$BFD400,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer A low byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABTAHI,BFD500,$BFD500,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer A high byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABTBLO,BFD600,$BFD600,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer B low byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABTBHI,BFD700,$BFD700,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer B high byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABTODLOW,BFD800,$BFD800,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Time-of-day clock low,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABTODMID,BFD900,$BFD900,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Time-of-day clock mid,R/W,CIA registers are byte-wide; writes do not affect unused bits
